antecedents,consequents,support,lift,confidence
['Add-on item Sub'],['Chocolate Bar'],0.005402425578831312,3.138718607870279,0.1346153846153846
['Chocolate Bar'],['Add-on item Sub'],0.005402425578831312,3.138718607870279,0.12596401028277635
['Add-on item Sub'],['Flavored Milk Sub'],0.012238147739801544,4.549098105841527,0.30494505494505497
['Flavored Milk Sub'],['Add-on item Sub'],0.012238147739801544,4.5490981058415265,0.1825657894736842
['Instant Noodles Pack'],['Add-on item Sub'],0.005843439911797133,3.2368428140486967,0.12990196078431374
['Add-on item Sub'],['Instant Noodles Pack'],0.005843439911797133,3.2368428140486967,0.14560439560439561
['Sugar CSD'],['Add-on item Sub'],0.005622932745314222,2.397729628861704,0.09622641509433962
['Add-on item Sub'],['Sugar CSD'],0.005622932745314222,2.3977296288617045,0.1401098901098901
['Add-on item Sub'],['Sugar Tea'],0.007607497243660419,1.7124633334792696,0.18956043956043955
['Sugar Tea'],['Add-on item Sub'],0.007607497243660419,1.7124633334792696,0.06872509960159362
['Chocolate Bar'],['Flavored Milk Sub'],0.006174200661521499,2.147544310648086,0.14395886889460155
['Flavored Milk Sub'],['Chocolate Bar'],0.006174200661521499,2.1475443106480854,0.09210526315789473
['Cup Of Ice'],['Coffee Drinks Sub'],0.006174200661521499,2.3534753981382375,0.07810320781032078
['Coffee Drinks Sub'],['Cup Of Ice'],0.006174200661521499,2.3534753981382375,0.18604651162790697
['Other Cuisine Sub'],['Cup'],0.005402425578831312,1.672443054599096,0.05218317358892439
['Cup'],['Other Cuisine Sub'],0.005402425578831312,1.672443054599096,0.17314487632508832
['Energy Drinks Sub'],['Cup Of Ice'],0.02293274531422271,3.434968009293145,0.2715404699738903
['Cup Of Ice'],['Energy Drinks Sub'],0.02293274531422271,3.4349680092931454,0.2900976290097629
['No/Less Sugar CSD'],['Cup Of Ice'],0.0070562293274531425,2.3065399913377598,0.18233618233618235
['Cup Of Ice'],['No/Less Sugar CSD'],0.0070562293274531425,2.3065399913377598,0.08926080892608089
['Other Cuisine Sub'],['Cup Of Ice'],0.005402425578831312,0.6601135069059193,0.05218317358892439
['Cup Of Ice'],['Other Cuisine Sub'],0.005402425578831312,0.6601135069059193,0.06834030683403067
['Sugar CSD'],['Cup Of Ice'],0.010804851157662623,2.3390437093760688,0.18490566037735848
['Cup Of Ice'],['Sugar CSD'],0.010804851157662623,2.3390437093760688,0.13668061366806133
['Cup Of Ice'],['Sugar Tea'],0.014002205071664829,1.600140581328799,0.17712691771269176
['Sugar Tea'],['Cup Of Ice'],0.014002205071664829,1.600140581328799,0.12649402390438247
['Drink'],['Flavored Milk Sub'],0.005402425578831312,1.479697155337737,0.09919028340080971
['Flavored Milk Sub'],['Drink'],0.005402425578831312,1.4796971553377372,0.0805921052631579
['Onigiri'],['Drink'],0.0065049614112458656,1.5300269905533066,0.08333333333333334
['Drink'],['Onigiri'],0.0065049614112458656,1.5300269905533066,0.1194331983805668
['Other Cuisine Sub'],['Drink'],0.006284454244762955,1.1145244531826002,0.06070287539936103
['Drink'],['Other Cuisine Sub'],0.006284454244762955,1.1145244531826002,0.11538461538461539
['Packaged bakery'],['Drink'],0.005181918412348402,1.460127280324983,0.07952622673434857
['Drink'],['Packaged bakery'],0.005181918412348402,1.460127280324983,0.09514170040485831
['Drink'],['Savoury  Buns'],0.005402425578831312,1.2582599586648169,0.09919028340080971
['Savoury  Buns'],['Drink'],0.005402425578831312,1.258259958664817,0.06853146853146853
['Energy Drinks Sub'],['Purified water'],0.005843439911797133,0.7314204507415996,0.06919060052219321
['Purified water'],['Energy Drinks Sub'],0.005843439911797133,0.7314204507415996,0.06177156177156177
['Energy Drinks Sub'],['Savoury  Buns'],0.006284454244762955,0.9439463930325549,0.07441253263707572
['Savoury  Buns'],['Energy Drinks Sub'],0.006284454244762955,0.943946393032555,0.07972027972027973
['Energy Drinks Sub'],['Sugar CSD'],0.005402425578831312,1.0947090989703927,0.0639686684073107
['Sugar CSD'],['Energy Drinks Sub'],0.005402425578831312,1.0947090989703925,0.09245283018867924
['Energy Drinks Sub'],['Sugar Tea'],0.009592061742006615,1.0260394453517523,0.11357702349869452
['Sugar Tea'],['Energy Drinks Sub'],0.009592061742006615,1.0260394453517523,0.08665338645418326
['Onigiri'],['Flavored Milk Sub'],0.006725468577728776,1.2852875037169196,0.08615819209039549
['Flavored Milk Sub'],['Onigiri'],0.006725468577728776,1.2852875037169196,0.10032894736842106
['Packaged bakery'],['Flavored Milk Sub'],0.007276736493936053,1.665943093775047,0.11167512690355332
['Flavored Milk Sub'],['Packaged bakery'],0.007276736493936053,1.665943093775047,0.10855263157894737
['Purified water'],['Flavored Milk Sub'],0.005843439911797133,0.9214935284014231,0.06177156177156177
['Flavored Milk Sub'],['Purified water'],0.005843439911797133,0.9214935284014231,0.08717105263157894
['Savoury  Buns'],['Flavored Milk Sub'],0.006174200661521499,1.168384247331616,0.07832167832167833
['Flavored Milk Sub'],['Savoury  Buns'],0.006174200661521499,1.1683842473316157,0.09210526315789473
['Sugar Tea'],['Flavored Milk Sub'],0.005953693495038589,0.8023498112811911,0.053784860557768925
['Flavored Milk Sub'],['Sugar Tea'],0.005953693495038589,0.802349811281191,0.08881578947368421
['Fried Food Sub'],['Onigiri'],0.005292171995589856,1.2757577888740417,0.0995850622406639
['Onigiri'],['Fried Food Sub'],0.005292171995589856,1.2757577888740417,0.06779661016949153
['Other Cuisine Sub'],['Fried Food Sub'],0.014994487320837926,2.7254207928448646,0.1448349307774228
