,Basket Value,Category Name,StoreID,Total Exclude VAT
0,0 to 15999,Accessories,401230,0.0
1,0 to 15999,Add-on item Cat,401230,0.0
2,0 to 15999,Babycare,401230,0.0
3,0 to 15999,Batteries,401230,0.0
4,0 to 15999,Biscuits,401230,0.0
5,0 to 15999,Bottled Water,VN0001,19639646.0
6,0 to 15999,Steamed Bun,VN0001,15819703.0
7,0 to 15999,Instant Noodles,VN0001,13818980.0
8,0 to 15999,Tea,VN0001,13478043.0
9,0 to 15999,Carbonated Drinks - CSD,VN0001,9836580.0
10,0 to 15999,Steamed Bun,VN0002,15762367.0
11,0 to 15999,Bottled Water,VN0002,15445745.0
12,0 to 15999,Instant Noodles,VN0002,12469124.0
13,0 to 15999,Carbonated Drinks - CSD,VN0002,9428170.0
14,0 to 15999,Tea,VN0002,9239982.0
15,0 to 15999,Bottled Water,VN0003,21274385.0
16,0 to 15999,Tea,VN0003,17198836.0
17,0 to 15999,Instant Noodles,VN0003,15041627.0
18,0 to 15999,Carbonated Drinks - CSD,VN0003,12663295.0
19,0 to 15999,Non-potato Chips,VN0003,9721686.0
20,0 to 15999,Fried Food Cat,VN0004,13583439.0
21,0 to 15999,Steamed Bun,VN0004,12041532.0
22,0 to 15999,Tea,VN0004,11089999.0
23,0 to 15999,Instant Noodles,VN0004,11004551.0
24,0 to 15999,Bottled Water,VN0004,9492103.0
25,0 to 15999,Bottled Water,VN0005,19200939.0
26,0 to 15999,Tea,VN0005,16309607.0
27,0 to 15999,Instant Noodles,VN0005,15804269.0
28,0 to 15999,Gondola bakery,VN0005,10190909.0
29,0 to 15999,Carbonated Drinks - CSD,VN0005,9670854.0
30,0 to 15999,Bottled Water,VN0006,27949231.0
31,0 to 15999,Tea,VN0006,15494881.0
32,0 to 15999,Instant Noodles,VN0006,11415300.0
33,0 to 15999,Carbonated Drinks - CSD,VN0006,10116118.0
34,0 to 15999,Energy Drinks,VN0006,9731894.0
35,0 to 15999,Bottled Water,VN0007,16272055.0
36,0 to 15999,Tea,VN0007,15890696.0
37,0 to 15999,Carbonated Drinks - CSD,VN0007,11994412.0
38,0 to 15999,Instant Noodles,VN0007,11261512.0
39,0 to 15999,Non-potato Chips,VN0007,6945514.0
40,0 to 15999,Tea,VN0008,7969241.0
41,0 to 15999,Bottled Water,VN0008,7169287.0
42,0 to 15999,Carbonated Drinks - CSD,VN0008,6766954.0
43,0 to 15999,Instant Noodles,VN0008,6390923.0
44,0 to 15999,Energy Drinks,VN0008,3770848.0
45,0 to 15999,Tea,VN0009,19523271.0
46,0 to 15999,Instant Noodles,VN0009,18297691.0
47,0 to 15999,Bottled Water,VN0009,15488158.0
48,0 to 15999,Carbonated Drinks - CSD,VN0009,11089778.0
49,0 to 15999,Energy Drinks,VN0009,9474267.0
50,0 to 15999,Bottled Water,VN0012,15541788.0
51,0 to 15999,Tea,VN0012,10702374.0
52,0 to 15999,Instant Noodles,VN0012,8853758.0
53,0 to 15999,Carbonated Drinks - CSD,VN0012,6517310.0
54,0 to 15999,Energy Drinks,VN0012,6093440.0
55,0 to 15999,Instant Noodles,VN0014,9637626.0
56,0 to 15999,Tea,VN0014,9566786.0
57,0 to 15999,Bottled Water,VN0014,8265433.0
58,0 to 15999,Carbonated Drinks - CSD,VN0014,6446602.0
59,0 to 15999,Energy Drinks,VN0014,5468095.0
60,0 to 15999,Tea,VN0015,16033570.0
61,0 to 15999,Bottled Water,VN0015,15779750.0
62,0 to 15999,Instant Noodles,VN0015,12616669.0
63,0 to 15999,Carbonated Drinks - CSD,VN0015,10072401.0
64,0 to 15999,Non-potato Chips,VN0015,8412668.0
65,0 to 15999,Bottled Water,VN0017,36560478.0
66,0 to 15999,Carbonated Drinks - CSD,VN0017,18606273.0
67,0 to 15999,Instant Noodles,VN0017,17457062.0
68,0 to 15999,Tea,VN0017,17419593.0
69,0 to 15999,Steamed Bun,VN0017,12126593.0
70,0 to 15999,Tea,VN0019,8868439.0
71,0 to 15999,Bottled Water,VN0019,8534574.0
72,0 to 15999,Instant Noodles,VN0019,6411246.0
73,0 to 15999,Energy Drinks,VN0019,5506450.0
74,0 to 15999,Carbonated Drinks - CSD,VN0019,5377140.0
75,0 to 15999,Bottled Water,VN0020,10342424.0
76,0 to 15999,Tea,VN0020,7499300.0
77,0 to 15999,Instant Noodles,VN0020,7092917.0
78,0 to 15999,Carbonated Drinks - CSD,VN0020,6570422.0
79,0 to 15999,Steamed Bun,VN0020,4668664.0
80,0 to 15999,Tea,VN0021,10832426.0
81,0 to 15999,Bottled Water,VN0021,10425730.0
82,0 to 15999,Instant Noodles,VN0021,10375249.0
83,0 to 15999,Carbonated Drinks - CSD,VN0021,8245619.0
84,0 to 15999,Non-potato Chips,VN0021,5559654.0
85,0 to 15999,Carbonated Drinks - CSD,VN0022,17915663.0
86,0 to 15999,Bottled Water,VN0022,11579328.0
87,0 to 15999,Instant Noodles,VN0022,9848911.0
88,0 to 15999,Tea,VN0022,8563537.0
89,0 to 15999,Fried Food Cat,VN0022,6221595.0
90,0 to 15999,Steamed Bun,VN0024,14845133.0
91,0 to 15999,Energy Drinks,VN0024,8611679.0
92,0 to 15999,Fried Food Cat,VN0024,7849892.0
93,0 to 15999,Gondola bakery,VN0024,7778239.0
94,0 to 15999,Instant Noodles,VN0024,7591816.0
95,0 to 15999,Bottled Water,VN0025,20173780.0
96,0 to 15999,Tea,VN0025,15007272.0
97,0 to 15999,Carbonated Drinks - CSD,VN0025,9329964.0
98,0 to 15999,Instant Noodles,VN0025,8827602.0
99,0 to 15999,Energy Drinks,VN0025,5875635.0
100,0 to 15999,Bottled Water,VN0027,11220725.0
101,0 to 15999,Tea,VN0027,7817498.0
102,0 to 15999,Steamed Bun,VN0027,7781574.0
103,0 to 15999,Instant Noodles,VN0027,7007788.0
104,0 to 15999,Carbonated Drinks - CSD,VN0027,6254742.0
105,0 to 15999,Bottled Water,VN0028,7258922.0
106,0 to 15999,Tea,VN0028,7153617.0
107,0 to 15999,Instant Noodles,VN0028,4470242.0
108,0 to 15999,Carbonated Drinks - CSD,VN0028,4314064.0
109,0 to 15999,Flavored Milk,VN0028,3076622.0
110,0 to 15999,Tea,VN0030,13872912.0
111,0 to 15999,Bottled Water,VN0030,12834950.0
112,0 to 15999,Instant Noodles,VN0030,12596058.0
113,0 to 15999,Carbonated Drinks - CSD,VN0030,8623022.0
114,0 to 15999,Non-potato Chips,VN0030,6716357.0
115,0 to 15999,Bottled Water,VN0031,7994004.0
116,0 to 15999,Tea,VN0031,7910753.0
117,0 to 15999,Carbonated Drinks - CSD,VN0031,6130986.0
118,0 to 15999,Instant Noodles,VN0031,5631253.0
119,0 to 15999,Energy Drinks,VN0031,4366229.0
120,0 to 15999,Tea,VN0032,8669201.0
121,0 to 15999,Bottled Water,VN0032,7215469.0
122,0 to 15999,Instant Noodles,VN0032,6717567.0
123,0 to 15999,Carbonated Drinks - CSD,VN0032,5567593.0
124,0 to 15999,Energy Drinks,VN0032,4985344.0
125,0 to 15999,Bottled Water,VN0033,13636903.0
126,0 to 15999,Carbonated Drinks - CSD,VN0033,10737746.0
127,0 to 15999,Tea,VN0033,9351050.0
128,0 to 15999,Instant Noodles,VN0033,7616096.0
129,0 to 15999,Energy Drinks,VN0033,6306569.0
130,0 to 15999,Bottled Water,VN0034,8570472.0
131,0 to 15999,Instant Noodles,VN0034,6754946.0
132,0 to 15999,Tea,VN0034,6068292.0
133,0 to 15999,Energy Drinks,VN0034,5772000.0
134,0 to 15999,Carbonated Drinks - CSD,VN0034,5342778.0
135,0 to 15999,Tea,VN0036,16593483.0
136,0 to 15999,Energy Drinks,VN0036,16530933.0
137,0 to 15999,Steamed Bun,VN0036,15634646.0
138,0 to 15999,Fried Food Cat,VN0036,15081596.0
139,0 to 15999,Instant Noodles,VN0036,14489802.0
140,0 to 15999,Bottled Water,VN0037,11104543.0
141,0 to 15999,Instant Noodles,VN0037,8239513.0
142,0 to 15999,Carbonated Drinks - CSD,VN0037,7239167.0
143,0 to 15999,Tea,VN0037,6799035.0
