VAT_group,count,mean
"<5,000",7301,3189.9582249006985
5000 to 9999,60472,7974.530857256251
10000 to 14999,78583,12121.404756754006
15000 to 19999,52338,17646.044652069242
20000 to 24999,35035,22699.025745682888
25000 to 29999,24054,27458.37947950445
30000 to 34999,19580,32606.750306435137
35000 to 39999,13663,36987.820903169144
40000 to 44999,6045,42605.32423490488
45000 to 49999,5819,47574.90599759409
50000 to 54999,3380,52544.67928994083
55000 to 59999,2414,57875.88690969346
60000 to 64999,1851,62715.56672069152
65000 to 69999,2523,67536.209274673
70000 to 74999,1746,72787.74570446735
75000 to 79999,1075,77778.63441860465
80000 to 84999,884,82577.16063348416
85000 to 89999,787,87170.50952986022
90000 to 94999,503,92332.56461232604
95000 to 99999,770,97330.1
">=100,000",5614,172775.42785892411
